"Nom de l'entreprise","Téléphone","Adresse","Code Postal + Ville","Email","Site Web","Validation des données"
"INTERFEL","01 49 49 15 15","97 boulevard Pereire 75017 PARIS","","i.jusserand@interfel.com","www.interfel.com","INTERFEL[""INTERFEL""][""STI""][""97 boulevard Pereire 75017 PARIS""][""Tél 01 49 49 15 15""][""i.jusserand@interfel.com""][""www.interfel.com""]"
"ISARA","04 27 85 85 85",", nil]","","","www.isara.fr","ISARA[""ISARA""][""23 Rue Jean Baldassini 69007 LYON""][""Tél 04 27 85 85 85""][""Www.isara.fr""][""\fANNUAIRE DES EXPOSANTS ///////// 0/0 ll 11"", nil]"
"KANNE FRANCE","06 41 67 96 17","Chemin des Varines 01700 LES ECHETS"," 527","laurent.chatagny@gmx.de","www.kanne-brottrunk.fr","KANNE FRANCE[""KANNE FRANCE""][""FE""][""Domaine de Miribel lot 10"", "" 527""][""Chemin des Varines 01700 LES ECHETS""][""Tél 06 41 67 96 17""][""laurent.chatagny@gmx.de""][""www.kanne-brottrunk.fr""]"
"KNEVERLAND","02 38 52 43 00","55 avenue Ampère","45800 SAINT-JEAN-DE-BRAYE","contact.kgf@kvernelandgroup.com","www.kvernelandgroup.com","KNEVERLAND[""KNEVERLAND""][""TE""][""55 avenue Ampère""][""45800 SAINT-JEAN-DE-BRAYE""][""Tél 02 38 52 43 00""][""contact.kgf@kvernelandgroup.com""][""www.kvernelandgroup.com""]"
"KOPPERT FRANCE","04 90 78 62 32","147 avenue des Banquets","84300 CAVAILLON","","oppert.fr","KOPPERT FRANCE[""KOPPERT FRANCE""][""E13]""][""147 avenue des Banquets""][""84300 CAVAILLON""][""Tél 04 90 78 62 32""][""oppert.fr""][""oppert.fr""]"
"KUBOTA","","95101 she","","","","KUBOTA[""KUBOTA""][""k""][""19-25 Rue juies vercruysse""][""95101 she""]"
"L'AGRICULTURE","","","","","","L'AGRICULTURE[""L'AGRICULTURE""]"
"DROMOISE","","5 avenue Georges Brassens","","","","DROMOISE[""DROMOISE""][""5 avenue Georges Brassens""]"
"BOURG-LES-VALENCE","","","","","omoise.fr","BOURG-LES-VALENCE[""BOURG-LES-VALENCE""][""omoise.fr""]"
"LALLEMAND PLANT","","","","","","LALLEMAND PLANT[""LALLEMAND PLANT""]"
"CARE","","4 chemin de Beaupuy","< 7 80","","","CARE[""CARE""][""E""][""4 chemin de Beaupuy""][""31180 CASTELMAUROU""][""< 7 80""]"
"LEMAIRE DEFFONTAINES","06 78 57 79 86","180 Rue Du Rossignol","59310 AUCHY-LES-ORCHIES","m.balduz@lemaire-deffontaines.com","","LEMAIRE DEFFONTAINES[""LEMAIRE DEFFONTAINES""][""180 Rue Du Rossignol""][""59310 AUCHY-LES-ORCHIES""][""Tél 06 78 57 79 86""][""m.balduz@lemaire-deffontaines.com""]"
"LEMKEN FRANCE","02 38 61 11 12","353 Rue du Grand Bouland","45760 BOIGNY-SUR-BIONNE","v.melin@lemken.com","www.lemken.com","LEMKEN FRANCE[""LEMKEN FRANCE""][""353 Rue du Grand Bouland""][""45760 BOIGNY-SUR-BIONNE""][""Tél 02 38 61 11 12""][""v.melin@lemken.com""][""www.lemken.com""]"
"LES PIONNIERS","","","","","","LES PIONNIERS[""LES PIONNIERS""]"
"DE L'AGRICULTURE","","","","","","DE L'AGRICULTURE[""DE L'AGRICULTURE""]"
"BIOLOGIQUE","06 80 26 70 53","81 L'ove Chassagny","69700 CHASSAGNY","paco.galloppe@live.fr","www.bio-provence.org","BIOLOGIQUE[""BIOLOGIQUE""][""Æ""][""81 L'ove Chassagny""][""69700 CHASSAGNY""][""Tél 06 80 26 70 53""][""paco.galloppe@live.fr""][""www.bio-provence.org""]"
"LITUUS","","","","","","LITUUS[""LITUUS""]"
"ESPACE START-UP","06 36 48 06 05","12 place Saint Hubert 59000 Lille","","roman.igual@lituus.fr","www.lituus.fr","ESPACE START-UP[""ESPACE START-UP""][""12 place Saint Hubert 59000 Lille""][""Tél 06 36 48 06 05""][""roman.igual@lituus.fr""][""www.lituus.fr""]"
"LODI GROUP","05 46 82 12 34","LYCÉE AAsQULE","17305 ROCHEFORT","maston@lodi.fr","wwww.ipo.fr","LODI GROUP[""LODI GROUP""][""Parc d'activités des Quatre Routes""][""35390 GRAND-FOUGERAY""][""Tél 02 99 08 48 59""][""maston@lodi.fr""][""www.lodi-group.fr""][""LPO k""][""8 rue du Docteur Pujos""][""17305 ROCHEFORT""][""Tél 05 46 82 12 34""][""Wwww.Ipo.fr""][""LYCÉE AAsQULE""]"
"DU VAL","04 75 83 33 55","vny.epl.valentin.educagri.fr/","","legta valence@educagri.fr","","DU VAL[""DU VAL""][""Tél 04 75 83 33 55""][""legta valence@educagri.fr""][""vny.epl.valentin.educagri.fr/""]"
"LYCÉE HORTICOLE","","","","","","LYCÉE HORTICOLE[""LYCÉE HORTICOLE""]"
"TERRE D’HORIZON","","1414 chemin de Rosey Ouest","26100 ROMANS-SUR-ISÈRE","epl.romans@educagri.fr","www.terre-horizon.fr","TERRE D’HORIZON[""TERRE D’HORIZON""][""1414 chemin de Rosey Ouest""][""26100 ROMANS-SUR-ISÈRE""][""epl.romans@educagri.fr""][""www.terre-horizon.fr""]"
"MAISON FRANCOIS","","","","","","MAISON FRANCOIS[""MAISON FRANCOIS""]"
"CHOLAT","","Avenue Sabin n°1 1300 WAVRES -","20","","texinov.com","CHOLAT[""CHOLAT""][""«""][""1319 Route de Thuile""][""38510 MORESTEL""][""4 80 4e 22""][""ee TEXINOV""][""56 route de Ferrossière""][""38110 SAINT-DIDIER-DE-LA-TOUR""][""Www.prote""][""texinov.com""][""20""][""Avenue Sabin n°1 1300 WAVRES -""]"
"BELGIQUE","06 45 96 36 25","ion-textile-agriculture","","Damien.cariou@medinbio.com","www.medinbio.com","BELGIQUE[""BELGIQUE""][""Tél 06 45 96 36 25""][""Damien.cariou@medinbio.com""][""www.medinbio.com""][""ion-textile-agriculture""]"
"MEFFRE AB","06 13 24 90 14","259 chemin de la source Patris","84170 MONTEUX","contact@meffre-ab.com","www.meffre-ab.com","MEFFRE AB[""MEFFRE AB""][""259 chemin de la source Patris""][""84170 MONTEUX""][""Tél 06 13 24 90 14""][""contact@meffre-ab.com""][""www.meffre-ab.com""]"
"MEFFRE","","\fà. |","","","","MEFFRE[""MEFFRE""][""\fà. |""][""#""]"
"NAÏO TECHNOLOGIES","07 83 92 32 56","235 rue de la Montagne Noire","31750 ESCALQUENS","paul@naio-technologies.com","www.naio-technologies.com","NAÏO TECHNOLOGIES[""NAÏO TECHNOLOGIES""][""Œ""][""235 rue de la Montagne Noire""][""31750 ESCALQUENS""][""Tél 07 83 92 32 56""][""paul@naio-technologies.com""][""Www.naio-technologies.com""]"
"NATUROSOL","04 75 47 60 09","330 Chemin de l’ozon","26300 CHATUZANGE-LE-GOUBET","cassandre.vieira@groupe-jamonet.fr","","NATUROSOL[""NATUROSOL""][""BE""][""330 Chemin de l’ozon""][""26300 CHATUZANGE-LE-GOUBET""][""Tél 04 75 47 60 09""][""cassandre.vieira@groupe-jamonet.fr""]"
"NETAFIM","04 42 66 83 53","Zi Novactis - Quartier Jean de Bouc","13120 GARDANNE","celine.palvadeau@netafim.com","www.netafim.fr","NETAFIM[""NETAFIM""][""F15""][""Zi Novactis - Quartier Jean de Bouc""][""- 330 RD 6C""][""13120 GARDANNE""][""Tél 04 42 66 83 53""][""celine.palvadeau@netafim.com""][""www.netafim.fr""]"
"NOVA-FLORE","","","","","","NOVA-FLORE[""NOVA-FLORE""]"
"PROFESSIONNEL","02 41 221055","2 rue de la Remaroutiere","49330 CHAMPIGNE","","nova-flore.com","PROFESSIONNEL[""PROFESSIONNEL""][""TE""][""2 rue de la Remaroutiere""][""49330 CHAMPIGNE""][""Tél 02 41 221055""][""nova-flore.com""]"
"NUTRAL DISTRIBUTION","02 41 69 47 71","Z.A. Route de Contigné","49330 CHATEAUNEUF-SUR-SARTHE","","2chna.com","NUTRAL DISTRIBUTION[""NUTRAL DISTRIBUTION""][""Et""][""Z.A. Route de Contigné""][""49330 CHATEAUNEUF-SUR-SARTHE""][""Tél 02 41 69 47 71""][""nutral.fr""][""2Chna.com""]"
"NUTRILAC","03 73 72 04 50","239 rue Fernand Léger 71000 MACON","70","lr@obione.fr","www.obione.fr","NUTRILAC[""NUTRILAC""][""Rue de la faiterie 62180 VERTON""][""£ 4 34""][""ac.fr""][""70""][""239 rue Fernand Léger 71000 MACON""][""Tél 03 73 72 04 50""][""lr@obione.fr""][""www.obione.fr""]"
"OELIATEC","09 99 05 00 33","60 Bd de la Haie des Cognets","25136 SAINT-JAGQUES-DE-LA-LANDE","contact@oeliatec.fr","www.oeliatec.fr","OELIATEC[""OELIATEC""][""TE""][""60 Bd de la Haie des Cognets""][""25136 SAINT-JAGQUES-DE-LA-LANDE""][""Tél 09 99 05 00 33""][""contact@oeliatec.fr""][""www.oeliatec.fr""]"
"OLIVER AGRO SRL","","Via torre 350 37056 SALIZZOLE -","","","","OLIVER AGRO SRL[""OLIVER AGRO SRL""][""Via torre 350 37056 SALIZZOLE -""]"
"ITALIE","4 56 95 43 92","","","moira.s@dittaoliver.com","www.oliveragro.it","ITALIE[""ITALIE""][""Tél 4 56 95 43 92""][""moira.s@dittaoliver.com""][""www.oliveragro.it""]"
"OPALE ENERGIES","","","","","","OPALE ENERGIES[""OPALE ENERGIES""]"
"NATURELLES","03 81 61 84 49","17 rue du stade 25660 FONTAIN","","coralie@opale-en.eu","wwww.opale-en.com","NATURELLES[""NATURELLES""][""cs2""][""17 rue du stade 25660 FONTAIN""][""Tél 03 81 61 84 49""][""coralie@opale-en.eu""][""wWww.opale-en.com""]"
"ORTOMEC SRL","","Via risorgimento 11 30010 CONA","","","","ORTOMEC SRL[""ORTOMEC SRL""][""Œ""][""Via risorgimento 11 30010 CONA""]"
"(VENEZIA) - ITALIA","+39 0426 308354","","","emanuela@ortomec.it","www.ortomec.com","(VENEZIA) - ITALIA[""(VENEZIA) - ITALIA""][""Tél +39 0426 308354""][""emanuela@ortomec.it""][""www.ortomec.com""]"
"OVINALP FERTILISATION","07 62 64 9476","La tour du Puy - Ribiers","05300 VAL-BUËCH-MÉOUGE","contact@ovinalp.fr","wwww.0vinalp.fr","OVINALP FERTILISATION[""OVINALP FERTILISATION""][""STI""][""La tour du Puy - Ribiers""][""05300 VAL-BUËCH-MÉOUGE""][""Tél 07 62 64 9476""][""contact@ovinalp.fr""][""wWww.0vinalp.fr""]"
"PARTNER & CO SARL","02 40 23 63 24","6 rue Alphonse Daudet","44350 GUÉRANDE","cl@partnerandco.fr","www.partnerandco.fr","PARTNER & CO SARL[""PARTNER & CO SARL""][""ma""][""6 rue Alphonse Daudet""][""44350 GUÉRANDE""][""Tél 02 40 23 63 24""][""cl@partnerandco.fr""][""Www.partnerandco.fr""]"
"PERFARMER","","","","","","PERFARMER[""PERFARMER""]"
"ELTH CT AT","06 68 36 3955"," Rue Urdelarun","64210 BIDART","edgar@perfarmer.com","www.perfarmer.com","ELTH CT AT[""ELTH CT AT"", nil][""Udaberri"", "" Rue Urdelarun""][""64210 BIDART""][""Tél 06 68 36 3955""][""edgar@perfarmer.com""][""www.perfarmer.com""]"
"PONCHON SAS","06 03 07 08 75","17 rue de la Croix Moreau","75018 PARIS 18","achats@ponchon.io","www.ponchon.io","PONCHON SAS[""PONCHON SAS""][""eus""][""17 rue de la Croix Moreau""][""75018 PARIS 18""][""Tél 06 03 07 08 75""][""achats@ponchon.io""][""www.ponchon.io""]"
"PRODUCTOS AGRICOLAS","","","","","","PRODUCTOS AGRICOLAS[""PRODUCTOS AGRICOLAS""]"
"MAGASA SL","","","","","","MAGASA SL[""MAGASA SL""][""ŒE""]"
"ALEMANIA","",""," 10 08700 IGUALADA -","","","ALEMANIA[""ALEMANIA"", "" 10 08700 IGUALADA -""]"
"ESPAGNE","06 88 70 06 65","","","c.bejar@macasa.es","www.labin.net","ESPAGNE[""ESPAGNE""][""Tél 06 88 70 06 65""][""c.bejar@macasa.es""][""Www.labin.net""]"
"PROMUS","","","","","","PROMUS[""PROMUS""]"
"LAN AT","04 58 57 01 65","1759 BD du Golf 74500 PUBLIER","","katia.tardy@promus.fr","www.promus.fr","LAN AT[""LAN AT""][""1759 BD du Golf 74500 PUBLIER""][""Tél 04 58 57 01 65""][""katia.tardy@promus.fr""][""WWW.promus.fr""]"
"PROSEM","03 89 29 87 06","\f","","","www.prosem.fr","PROSEM[""PROSEM""][""17 rue André Kiener 68000 COLMAR""][""Tél 03 89 29 87 06""][""n.delasayette@prosem fr""][""Www.prosem.fr""][""\f""]"
